,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
111,112,0,3,female,14.5,1,0,14.4542,1,C
112,113,0,3,male,22.0,0,0,8.05,1,S
113,114,0,3,female,20.0,1,0,9.825,1,S
114,115,0,3,female,17.0,0,0,14.4583,1,C
115,116,0,3,male,21.0,0,0,7.925,1,S
116,117,0,3,male,70.5,0,0,7.75,1,Q
117,118,0,2,male,29.0,1,0,21.0,1,S
118,119,0,1,male,24.0,0,1,247.5208,B58 B60,C
119,120,0,3,female,2.0,4,2,31.275,1,S
120,121,0,2,male,21.0,2,0,73.5,1,S
121,122,0,3,male,29.69911764705882,0,0,8.05,1,S
122,123,0,2,male,32.5,1,0,30.0708,1,C
123,124,1,2,female,32.5,0,0,13.0,E101,S
124,125,0,1,male,54.0,0,1,77.2875,D26,S
125,126,1,3,male,12.0,1,0,11.2417,1,C
126,127,0,3,male,29.69911764705882,0,0,7.75,1,Q
127,128,1,3,male,24.0,0,0,7.1417,1,S
128,129,1,3,female,29.69911764705882,1,1,22.3583,F E69,C
129,130,0,3,male,45.0,0,0,6.975,1,S
130,131,0,3,male,33.0,0,0,7.8958,1,C
131,132,0,3,male,20.0,0,0,7.05,1,S
132,133,0,3,female,47.0,1,0,14.5,1,S
133,134,1,2,female,29.0,1,0,26.0,1,S
134,135,0,2,male,25.0,0,0,13.0,1,S
135,136,0,2,male,23.0,0,0,15.0458,1,C
136,137,1,1,female,19.0,0,2,26.2833,D47,S
137,138,0,1,male,37.0,1,0,53.1,C123,S
138,139,0,3,male,16.0,0,0,9.2167,1,S
139,140,0,1,male,24.0,0,0,79.2,B86,C
140,141,0,3,female,29.69911764705882,0,2,15.2458,1,C
141,142,1,3,female,22.0,0,0,7.75,1,S
142,143,1,3,female,24.0,1,0,15.85,1,S
143,144,0,3,male,19.0,0,0,6.75,1,Q
144,145,0,2,male,18.0,0,0,11.5,1,S
145,146,0,2,male,19.0,1,1,36.75,1,S
146,147,1,3,male,27.0,0,0,7.7958,1,S
147,148,0,3,female,9.0,2,2,34.375,1,S
148,149,0,2,male,36.5,0,2,26.0,F2,S
149,150,0,2,male,42.0,0,0,13.0,1,S
150,151,0,2,male,51.0,0,0,12.525,1,S
151,152,1,1,female,22.0,1,0,66.6,C2,S
152,153,0,3,male,55.5,0,0,8.05,1,S
153,154,0,3,male,40.5,0,2,14.5,1,S
154,155,0,3,male,29.69911764705882,0,0,7.3125,1,S
155,156,0,1,male,51.0,0,1,61.3792,1,C
156,157,1,3,female,16.0,0,0,7.7333,1,Q
157,158,0,3,male,30.0,0,0,8.05,1,S
158,159,0,3,male,29.69911764705882,0,0,8.6625,1,S
159,160,0,3,male,29.69911764705882,8,2,69.55,1,S
160,161,0,3,male,44.0,0,1,16.1,1,S
161,162,1,2,female,40.0,0,0,15.75,1,S
162,163,0,3,male,26.0,0,0,7.775,1,S
163,164,0,3,male,17.0,0,0,8.6625,1,S
164,165,0,3,male,1.0,4,1,39.6875,1,S
165,166,1,3,male,9.0,0,2,20.525,1,S
166,167,1,1,female,29.69911764705882,0,1,55.0,E33,S
167,168,0,3,female,45.0,1,4,27.9,1,S
168,169,0,1,male,29.69911764705882,0,0,25.925,1,S
169,170,0,3,male,28.0,0,0,56.4958,1,S
170,171,0,1,male,61.0,0,0,33.5,B19,S
171,172,0,3,male,4.0,4,1,29.125,1,Q
172,173,1,3,female,1.0,1,1,11.1333,1,S
173,174,0,3,male,21.0,0,0,7.925,1,S
174,175,0,1,male,56.0,0,0,30.6958,A7,C
175,176,0,3,male,18.0,1,1,7.8542,1,S
176,177,0,3,male,29.69911764705882,3,1,25.4667,1,S
177,178,0,1,female,50.0,0,0,28.7125,C49,C
178,179,0,2,male,30.0,0,0,13.0,1,S
179,180,0,3,male,36.0,0,0,0.0,1,S
180,181,0,3,female,29.69911764705882,8,2,69.55,1,S
181,182,0,2,male,29.69911764705882,0,0,15.05,1,C
182,183,0,3,male,9.0,4,2,31.3875,1,S
183,184,1,2,male,1.0,2,1,39.0,F4,S
184,185,1,3,female,4.0,0,2,22.025,1,S
185,186,0,1,male,29.69911764705882,0,0,50.0,A32,S
186,187,1,3,female,29.69911764705882,1,0,15.5,1,Q
187,188,1,1,male,45.0,0,0,26.55,1,S
188,189,0,3,male,40.0,1,1,15.5,1,Q
189,190,0,3,male,36.0,0,0,7.8958,1,S
190,191,1,2,female,32.0,0,0,13.0,1,S
191,192,0,2,male,19.0,0,0,13.0,1,S
192,193,1,3,female,19.0,1,0,7.8542,1,S
193,194,1,2,male,3.0,1,1,26.0,F2,S
194,195,1,1,female,44.0,0,0,27.7208,B4,C
195,196,1,1,female,58.0,0,0,146.5208,B80,C
196,197,0,3,male,29.69911764705882,0,0,7.75,1,Q
197,198,0,3,male,42.0,0,1,8.4042,1,S
198,199,1,3,female,29.69911764705882,0,0,7.75,1,Q
199,200,0,2,female,24.0,0,0,13.0,1,S
200,201,0,3,male,28.0,0,0,9.5,1,S
201,202,0,3,male,29.69911764705882,8,2,69.55,1,S
202,203,0,3,male,34.0,0,0,6.4958,1,S
203,204,0,3,male,45.5,0,0,7.225,1,C
204,205,1,3,male,18.0,0,0,8.05,1,S
205,206,0,3,female,2.0,0,1,10.4625,G6,S
206,207,0,3,male,32.0,1,0,15.85,1,S
207,208,1,3,male,26.0,0,0,18.7875,1,C
208,209,1,3,female,16.0,0,0,7.75,1,Q
209,210,1,1,male,40.0,0,0,31.0,A31,C
210,211,0,3,male,24.0,0,0,7.05,1,S
211,212,1,2,female,35.0,0,0,21.0,1,S
212,213,0,3,male,22.0,0,0,7.25,1,S
213,214,0,2,male,30.0,0,0,13.0,1,S
214,215,0,3,male,29.69911764705882,1,0,7.75,1,Q
215,216,1,1,female,31.0,1,0,113.275,D36,C
216,217,1,3,female,27.0,0,0,7.925,1,S
217,218,0,2,male,42.0,1,0,27.0,1,S
218,219,1,1,female,32.0,0,0,76.2917,D15,C
219,220,0,2,male,30.0,0,0,10.5,1,S
220,221,1,3,male,16.0,0,0,8.05,1,S
221,222,0,2,male,27.0,0,0,13.0,1,S
222,223,0,3,male,51.0,0,0,8.05,1,S
223,224,0,3,male,29.69911764705882,0,0,7.8958,1,S
224,225,1,1,male,38.0,1,0,90.0,C93,S
225,226,0,3,male,22.0,0,0,9.35,1,S
226,227,1,2,male,19.0,0,0,10.5,1,S
227,228,0,3,male,20.5,0,0,7.25,1,S
228,229,0,2,male,18.0,0,0,13.0,1,S
229,230,0,3,female,29.69911764705882,3,1,25.4667,1,S
230,231,1,1,female,35.0,1,0,83.475,C83,S
231,232,0,3,male,29.0,0,0,7.775,1,S
232,233,0,2,male,59.0,0,0,13.5,1,S
233,234,1,3,female,5.0,4,2,31.3875,1,S
234,235,0,2,male,24.0,0,0,10.5,1,S
235,236,0,3,female,29.69911764705882,0,0,7.55,1,S
236,237,0,2,male,44.0,1,0,26.0,1,S
237,238,1,2,female,8.0,0,2,26.25,1,S
238,239,0,2,male,19.0,0,0,10.5,1,S
239,240,0,2,male,33.0,0,0,12.275,1,S
240,241,0,3,female,29.69911764705882,1,0,14.4542,1,C
241,242,1,3,female,29.69911764705882,1,0,15.5,1,Q
242,243,0,2,male,29.0,0,0,10.5,1,S
243,244,0,3,male,22.0,0,0,7.125,1,S
244,245,0,3,male,30.0,0,0,7.225,1,C
245,246,0,1,male,44.0,2,0,90.0,C78,Q
246,247,0,3,female,25.0,0,0,7.775,1,S
247,248,1,2,female,24.0,0,2,14.5,1,S
248,249,1,1,male,37.0,1,1,52.5542,D35,S
249,250,0,2,male,54.0,1,0,26.0,1,S
250,251,0,3,male,29.69911764705882,0,0,7.25,1,S
251,252,0,3,female,29.0,1,1,10.4625,G6,S
252,253,0,1,male,62.0,0,0,26.55,C87,S
253,254,0,3,male,30.0,1,0,16.1,1,S
254,255,0,3,female,41.0,0,2,20.2125,1,S
255,256,1,3,female,29.0,0,2,15.2458,1,C
256,257,1,1,female,29.69911764705882,0,0,79.2,1,C
257,258,1,1,female,30.0,0,0,86.5,B77,S
258,259,1,1,female,35.0,0,0,512.3292,1,C
259,260,1,2,female,50.0,0,1,26.0,1,S
260,261,0,3,male,29.69911764705882,0,0,7.75,1,Q
261,262,1,3,male,3.0,4,2,31.3875,1,S
262,263,0,1,male,52.0,1,1,79.65,E67,S
263,264,0,1,male,40.0,0,0,0.0,B94,S
264,265,0,3,female,29.69911764705882,0,0,7.75,1,Q
265,266,0,2,male,36.0,0,0,10.5,1,S
266,267,0,3,male,16.0,4,1,39.6875,1,S
267,268,1,3,male,25.0,1,0,7.775,1,S
268,269,1,1,female,58.0,0,1,153.4625,C125,S
269,270,1,1,female,35.0,0,0,135.6333,C99,S
270,271,0,1,male,29.69911764705882,0,0,31.0,1,S
271,272,1,3,male,25.0,0,0,0.0,1,S
272,273,1,2,female,41.0,0,1,19.5,1,S
273,274,0,1,male,37.0,0,1,29.7,C118,C
274,275,1,3,female,29.69911764705882,0,0,7.75,1,Q
275,276,1,1,female,63.0,1,0,77.9583,D7,S
276,277,0,3,female,45.0,0,0,7.75,1,S
277,278,0,2,male,29.69911764705882,0,0,0.0,1,S
278,279,0,3,male,7.0,4,1,29.125,1,Q
279,280,1,3,female,35.0,1,1,20.25,1,S
280,281,0,3,male,65.0,0,0,7.75,1,Q
281,282,0,3,male,28.0,0,0,7.8542,1,S
282,283,0,3,male,16.0,0,0,9.5,1,S
283,284,1,3,male,19.0,0,0,8.05,1,S
284,285,0,1,male,29.69911764705882,0,0,26.0,A19,S
285,286,0,3,male,33.0,0,0,8.6625,1,C
286,287,1,3,male,30.0,0,0,9.5,1,S
287,288,0,3,male,22.0,0,0,7.8958,1,S
288,289,1,2,male,42.0,0,0,13.0,1,S
289,290,1,3,female,22.0,0,0,7.75,1,Q
290,291,1,1,female,26.0,0,0,78.85,1,S
291,292,1,1,female,19.0,1,0,91.0792,B49,C
292,293,0,2,male,36.0,0,0,12.875,D,C
293,294,0,3,female,24.0,0,0,8.85,1,S
294,295,0,3,male,24.0,0,0,7.8958,1,S
295,296,0,1,male,29.69911764705882,0,0,27.7208,1,C
296,297,0,3,male,23.5,0,0,7.2292,1,C
297,298,0,1,female,2.0,1,2,151.55,C22 C26,S
298,299,1,1,male,29.69911764705882,0,0,30.5,C106,S
299,300,1,1,female,50.0,0,1,247.5208,B58 B60,C
300,301,1,3,female,29.69911764705882,0,0,7.75,1,Q
301,302,1,3,male,29.69911764705882,2,0,23.25,1,Q
302,303,0,3,male,19.0,0,0,0.0,1,S
303,304,1,2,female,29.69911764705882,0,0,12.35,E101,Q
304,305,0,3,male,29.69911764705882,0,0,8.05,1,S
305,306,1,1,male,0.92,1,2,151.55,C22 C26,S
306,307,1,1,female,29.69911764705882,0,0,110.8833,1,C
307,308,1,1,female,17.0,1,0,108.9,C65,C
308,309,0,2,male,30.0,1,0,24.0,1,C
309,310,1,1,female,30.0,0,0,56.9292,E36,C
310,311,1,1,female,24.0,0,0,83.1583,C54,C
311,312,1,1,female,18.0,2,2,262.375,B57 B59 B63 B66,C
312,313,0,2,female,26.0,1,1,26.0,1,S
313,314,0,3,male,28.0,0,0,7.8958,1,S
314,315,0,2,male,43.0,1,1,26.25,1,S
315,316,1,3,female,26.0,0,0,7.8542,1,S
316,317,1,2,female,24.0,1,0,26.0,1,S
317,318,0,2,male,54.0,0,0,14.0,1,S
318,319,1,1,female,31.0,0,2,164.8667,C7,S
319,320,1,1,female,40.0,1,1,134.5,E34,C
320,321,0,3,male,22.0,0,0,7.25,1,S
321,322,0,3,male,27.0,0,0,7.8958,1,S
322,323,1,2,female,30.0,0,0,12.35,1,Q
323,324,1,2,female,22.0,1,1,29.0,1,S
324,325,0,3,male,29.69911764705882,8,2,69.55,1,S
325,326,1,1,female,36.0,0,0,135.6333,C32,C
326,327,0,3,male,61.0,0,0,6.2375,1,S
327,328,1,2,female,36.0,0,0,13.0,D,S
328,329,1,3,female,31.0,1,1,20.525,1,S
329,330,1,1,female,16.0,0,1,57.9792,B18,C
330,331,1,3,female,29.69911764705882,2,0,23.25,1,Q
331,332,0,1,male,45.5,0,0,28.5,C124,S
332,333,0,1,male,38.0,0,1,153.4625,C91,S
333,334,0,3,male,16.0,2,0,18.0,1,S
334,335,1,1,female,29.69911764705882,1,0,133.65,1,S
335,336,0,3,male,29.69911764705882,0,0,7.8958,1,S
336,337,0,1,male,29.0,1,0,66.6,C2,S
337,338,1,1,female,41.0,0,0,134.5,E40,C
338,339,1,3,male,45.0,0,0,8.05,1,S
339,340,0,1,male,45.0,0,0,35.5,T,S
340,341,1,2,male,2.0,1,1,26.0,F2,S
341,342,1,1,female,24.0,3,2,263.0,C23 C25 C27,S
342,343,0,2,male,28.0,0,0,13.0,1,S
343,344,0,2,male,25.0,0,0,13.0,1,S
344,345,0,2,male,36.0,0,0,13.0,1,S
345,346,1,2,female,24.0,0,0,13.0,F33,S
346,347,1,2,female,40.0,0,0,13.0,1,S
347,348,1,3,female,29.69911764705882,1,0,16.1,1,S
348,349,1,3,male,3.0,1,1,15.9,1,S
349,350,0,3,male,42.0,0,0,8.6625,1,S
350,351,0,3,male,23.0,0,0,9.225,1,S
351,352,0,1,male,29.69911764705882,0,0,35.0,C128,S
352,353,0,3,male,15.0,1,1,7.2292,1,C
353,354,0,3,male,25.0,1,0,17.8,1,S
354,355,0,3,male,29.69911764705882,0,0,7.225,1,C
355,356,0,3,male,28.0,0,0,9.5,1,S
356,357,1,1,female,22.0,0,1,55.0,E33,S
357,358,0,2,female,38.0,0,0,13.0,1,S
358,359,1,3,female,29.69911764705882,0,0,7.8792,1,Q
359,360,1,3,female,29.69911764705882,0,0,7.8792,1,Q
360,361,0,3,male,40.0,1,4,27.9,1,S
361,362,0,2,male,29.0,1,0,27.7208,1,C
362,363,0,3,female,45.0,0,1,14.4542,1,C
363,364,0,3,male,35.0,0,0,7.05,1,S
364,365,0,3,male,29.69911764705882,1,0,15.5,1,Q
365,366,0,3,male,30.0,0,0,7.25,1,S
366,367,1,1,female,60.0,1,0,75.25,D37,C
367,368,1,3,female,29.69911764705882,0,0,7.2292,1,C
368,369,1,3,female,29.69911764705882,0,0,7.75,1,Q
369,370,1,1,female,24.0,0,0,69.3,B35,C
370,371,1,1,male,25.0,1,0,55.4417,E50,C
371,372,0,3,male,18.0,1,0,6.4958,1,S
372,373,0,3,male,19.0,0,0,8.05,1,S
373,374,0,1,male,22.0,0,0,135.6333,1,C
374,375,0,3,female,3.0,3,1,21.075,1,S
375,376,1,1,female,29.69911764705882,1,0,82.1708,1,C
376,377,1,3,female,22.0,0,0,7.25,1,S
377,378,0,1,male,27.0,0,2,211.5,C82,C
378,379,0,3,male,20.0,0,0,4.0125,1,C
379,380,0,3,male,19.0,0,0,7.775,1,S
380,381,1,1,female,42.0,0,0,227.525,1,C
381,382,1,3,female,1.0,0,2,15.7417,1,C
382,383,0,3,male,32.0,0,0,7.925,1,S
383,384,1,1,female,35.0,1,0,52.0,1,S
384,385,0,3,male,29.69911764705882,0,0,7.8958,1,S
385,386,0,2,male,18.0,0,0,73.5,1,S
386,387,0,3,male,1.0,5,2,46.9,1,S
387,388,1,2,female,36.0,0,0,13.0,1,S
388,389,0,3,male,29.69911764705882,0,0,7.7292,1,Q
389,390,1,2,female,17.0,0,0,12.0,1,C
390,391,1,1,male,36.0,1,2,120.0,B96 B98,S
391,392,1,3,male,21.0,0,0,7.7958,1,S
392,393,0,3,male,28.0,2,0,7.925,1,S
393,394,1,1,female,23.0,1,0,113.275,D36,C
394,395,1,3,female,24.0,0,2,16.7,G6,S
395,396,0,3,male,22.0,0,0,7.7958,1,S
396,397,0,3,female,31.0,0,0,7.8542,1,S
397,398,0,2,male,46.0,0,0,26.0,1,S
398,399,0,2,male,23.0,0,0,10.5,1,S
399,400,1,2,female,28.0,0,0,12.65,1,S
400,401,1,3,male,39.0,0,0,7.925,1,S
401,402,0,3,male,26.0,0,0,8.05,1,S
402,403,0,3,female,21.0,1,0,9.825,1,S
403,404,0,3,male,28.0,1,0,15.85,1,S
404,405,0,3,female,20.0,0,0,8.6625,1,S
405,406,0,2,male,34.0,1,0,21.0,1,S
406,407,0,3,male,51.0,0,0,7.75,1,S
407,408,1,2,male,3.0,1,1,18.75,1,S
408,409,0,3,male,21.0,0,0,7.775,1,S
409,410,0,3,female,29.69911764705882,3,1,25.4667,1,S
410,411,0,3,male,29.69911764705882,0,0,7.8958,1,S
411,412,0,3,male,29.69911764705882,0,0,6.8583,1,Q
412,413,1,1,female,33.0,1,0,90.0,C78,Q
413,414,0,2,male,29.69911764705882,0,0,0.0,1,S
414,415,1,3,male,44.0,0,0,7.925,1,S
415,416,0,3,female,29.69911764705882,0,0,8.05,1,S
416,417,1,2,female,34.0,1,1,32.5,1,S
417,418,1,2,female,18.0,0,2,13.0,1,S
418,419,0,2,male,30.0,0,0,13.0,1,S
419,420,0,3,female,10.0,0,2,24.15,1,S
420,421,0,3,male,29.69911764705882,0,0,7.8958,1,C
421,422,0,3,male,21.0,0,0,7.7333,1,Q
422,423,0,3,male,29.0,0,0,7.875,1,S
423,424,0,3,female,28.0,1,1,14.4,1,S
424,425,0,3,male,18.0,1,1,20.2125,1,S
425,426,0,3,male,29.69911764705882,0,0,7.25,1,S
426,427,1,2,female,28.0,1,0,26.0,1,S
427,428,1,2,female,19.0,0,0,26.0,1,S
428,429,0,3,male,29.69911764705882,0,0,7.75,1,Q
429,430,1,3,male,32.0,0,0,8.05,E10,S
430,431,1,1,male,28.0,0,0,26.55,C52,S
431,432,1,3,female,29.69911764705882,1,0,16.1,1,S
432,433,1,2,female,42.0,1,0,26.0,1,S
433,434,0,3,male,17.0,0,0,7.125,1,S
434,435,0,1,male,50.0,1,0,55.9,E44,S
435,436,1,1,female,14.0,1,2,120.0,B96 B98,S
436,437,0,3,female,21.0,2,2,34.375,1,S
437,438,1,2,female,24.0,2,3,18.75,1,S
438,439,0,1,male,64.0,1,4,263.0,C23 C25 C27,S
439,440,0,2,male,31.0,0,0,10.5,1,S
440,441,1,2,female,45.0,1,1,26.25,1,S
441,442,0,3,male,20.0,0,0,9.5,1,S
442,443,0,3,male,25.0,1,0,7.775,1,S
443,444,1,2,female,28.0,0,0,13.0,1,S
444,445,1,3,male,29.69911764705882,0,0,8.1125,1,S
445,446,1,1,male,4.0,0,2,81.8583,A34,S
446,447,1,2,female,13.0,0,1,19.5,1,S
447,448,1,1,male,34.0,0,0,26.55,1,S
448,449,1,3,female,5.0,2,1,19.2583,1,C
449,450,1,1,male,52.0,0,0,30.5,C104,S
450,451,0,2,male,36.0,1,2,27.75,1,S
451,452,0,3,male,29.69911764705882,1,0,19.9667,1,S
452,453,0,1,male,30.0,0,0,27.75,C111,C
453,454,1,1,male,49.0,1,0,89.1042,C92,C
454,455,0,3,male,29.69911764705882,0,0,8.05,1,S
455,456,1,3,male,29.0,0,0,7.8958,1,C
456,457,0,1,male,65.0,0,0,26.55,E38,S
457,458,1,1,female,29.69911764705882,1,0,51.8625,D21,S
458,459,1,2,female,50.0,0,0,10.5,1,S
459,460,0,3,male,29.69911764705882,0,0,7.75,1,Q
460,461,1,1,male,48.0,0,0,26.55,E12,S
461,462,0,3,male,34.0,0,0,8.05,1,S
462,463,0,1,male,47.0,0,0,38.5,E63,S
463,464,0,2,male,48.0,0,0,13.0,1,S
464,465,0,3,male,29.69911764705882,0,0,8.05,1,S
465,466,0,3,male,38.0,0,0,7.05,1,S
466,467,0,2,male,29.69911764705882,0,0,0.0,1,S
467,468,0,1,male,56.0,0,0,26.55,1,S
468,469,0,3,male,29.69911764705882,0,0,7.725,1,Q
469,470,1,3,female,0.75,2,1,19.2583,1,C
470,471,0,3,male,29.69911764705882,0,0,7.25,1,S
471,472,0,3,male,38.0,0,0,8.6625,1,S
472,473,1,2,female,33.0,1,2,27.75,1,S
473,474,1,2,female,23.0,0,0,13.7917,D,C
474,475,0,3,female,22.0,0,0,9.8375,1,S
475,476,0,1,male,29.69911764705882,0,0,52.0,A14,S
476,477,0,2,male,34.0,1,0,21.0,1,S
477,478,0,3,male,29.0,1,0,7.0458,1,S
478,479,0,3,male,22.0,0,0,7.5208,1,S
479,480,1,3,female,2.0,0,1,12.2875,1,S
480,481,0,3,male,9.0,5,2,46.9,1,S
481,482,0,2,male,29.69911764705882,0,0,0.0,1,S
482,483,0,3,male,50.0,0,0,8.05,1,S
483,484,1,3,female,63.0,0,0,9.5875,1,S
484,485,1,1,male,25.0,1,0,91.0792,B49,C
485,486,0,3,female,29.69911764705882,3,1,25.4667,1,S
486,487,1,1,female,35.0,1,0,90.0,C93,S
487,488,0,1,male,58.0,0,0,29.7,B37,C
488,489,0,3,male,30.0,0,0,8.05,1,S
489,490,1,3,male,9.0,1,1,15.9,1,S
490,491,0,3,male,29.69911764705882,1,0,19.9667,1,S
491,492,0,3,male,21.0,0,0,7.25,1,S
492,493,0,1,male,55.0,0,0,30.5,C30,S
493,494,0,1,male,71.0,0,0,49.5042,1,C
494,495,0,3,male,21.0,0,0,8.05,1,S
495,496,0,3,male,29.69911764705882,0,0,14.4583,1,C
496,497,1,1,female,54.0,1,0,78.2667,D20,C
497,498,0,3,male,29.69911764705882,0,0,15.1,1,S
498,499,0,1,female,25.0,1,2,151.55,C22 C26,S
499,500,0,3,male,24.0,0,0,7.7958,1,S
500,501,0,3,male,17.0,0,0,8.6625,1,S
501,502,0,3,female,21.0,0,0,7.75,1,Q
502,503,0,3,female,29.69911764705882,0,0,7.6292,1,Q
503,504,0,3,female,37.0,0,0,9.5875,1,S
